date,region,cumulative (confirmed + probable + suspects),fatality rate for confirmed and probables,new admits to cte so far,new cases of confirmed,new cases of confirmed among health workers,new cases of probables,new cases of suspects,new contacts registered so far,new deaths registered,new deaths registered among health workers,new deaths registered today,new deaths registered today (confirmed),new deaths registered today (probables),new deaths registered today (suspects),number of confirmed cases among health workers,number of contacts followed today,number of contacts followed yesterday,number of contacts lost to follow up,number of contacts out of the track 21 days,number of contacts out of track,number of contacts to follow today,number of death of confirmed cases among health workers,number of deaths of confirmed cases among health workers,number of deaths of probables cases among health workers,number of female confirmed cases,number of female probables cases,number of female suspects cases,number of male confirmed cases,number of male probables cases,number of male suspects cases,number of patients tested,number of probables cases among health workers,number of samples collected,number of samples collected today,number of samples under test,number of suspects cases among health workers,total pec center today,total pec center today (confirmed),total pec center today (probables),total pec center today (suspects),total case of confirmed among health workers,total cases of confirmed,total cases of probables,total cases of suspects,total contacts registered from start date,total deaths (confirmed + probables + suspects),total deaths of confirmed,total deaths of probables,total deaths of suspects,total deaths registered among health workers,total new cases registered so far,total number of admissions to cte,total number of exits from cte,total number of female cases,total number of hospitalized cases in cte,total number of male cases,total of cured in confirmed cases in cte,total of deaths in confirmed cases in cte,total samples tested,total suspected non-class cases
2014-09-21,conakry,151,4.5000000000000003e-07,4,,,,,,,0,,,,,,677,,0,2172,,796,,,,,,,,,,,,,8,0,,,,,,38,133,8,10,2968,68,58,8,2,18,0,482,5,,21,,,,1053,299
2014-09-21,coyah,7,7.099999999999999e-07,,,,,,,,0,,,,,,98,,1,17,,98,,,,,,,,,,,,,,,,,,,,1,7,0,0,116,5,5,0,0,0,0,0,0,,0,,,,,4
2014-09-21,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-09-21,dalaba,2,0.0,,,,,,,,0,,,,,,20,,0,0,,34,,,,,,,,,,,,,,,,,,,,0,2,0,0,34,0,0,0,0,0,0,0,0,,0,,,,,1
2014-09-21,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-21,dubreka,21,3.3e-07,,,,,,,,0,,,,,,49,,0,292,,49,,,,,,,,,,,,,,,,,,,,3,21,0,0,341,7,7,0,0,1,0,0,0,,0,,,,,19
2014-09-21,forecariah,10,7e-07,,,,,,,,0,,,,,,74,,0,61,,84,,,,,,,,,,,,,,,,,,,,0,9,0,1,145,7,7,0,0,0,0,0,0,,0,,,,,12
2014-09-21,gueckedou,354,8.3e-07,8,,,,1,14,,0,,,,,,194,,0,3564,,200,,,,,,,,,,,,,20,0,,,,,,9,237,111,6,3764,295,183,111,1,6,1,869,4,,48,,,,1543,259
2014-09-21,kerouane,22,2.3e-07,,,,,,,,0,,,,,,144,,0,71,,144,,,,,,,,,,,,,,,,,,,,0,22,0,0,215,5,5,0,0,0,0,0,0,,0,,,,,9
2014-09-21,kindia,1.0,0.0,,1.0,,,,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,
2014-09-21,kissidougou,8,8.800000000000002e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,3,5,0,159,7,2,5,0,0,0,0,0,,0,,,,,7
2014-09-21,kouroussa,4,1e-06,,,,,,,,0,,,,,,0,,0,94,,0,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,2
2014-09-21,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-21,macenta,318,5.4e-07,,14,,,,,,0,,,,,,855,,0,539,,831,,,,,,,,,,,,,0,0,,,,,,9,296,12,10,1370,172,158,12,2,7,14,0,0,,0,,,,0,144
2014-09-21,mzerekore,30,6.7e-07,,2,1,2,,,,0,,,,,,83,,1,84,,84,,,,,,,,,,,,,,,,,,,,2,19,11,0,264,20,9,11,0,1,2,0,0,,0,,,,,10
2014-09-21,pita,8,3.8e-07,,,,,,,,0,,,,,,25,,0,115,,25,,,,,,,,,,,,,,,,,,,,0,6,1,1,140,3,2,1,0,0,0,0,0,,0,,,,,18
2014-09-21,siguiri,6,5e-07,,,,,,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,9
2014-09-21,telimele,26,3.8e-07,,,,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-09-21,totals,1008,6.3e-07,12,17,1,0,1,14,0,0,,,,,,2249,,4,8055,,2380,,,,,,,,,,,,,28,0,,,,,,67,818,162,28,10532,632,465,162,5,35,18,1405,9,,69,,,,2596,838
2014-09-21,yomou,11,4.5000000000000003e-07,,,,,,,,0,,,,,,30,,2,21,,35,,,,,,,,,,,,,,,,,,,,1,11,0,0,56,5,5,0,0,1,0,0,0,,0,,,,,4
2014-08-27,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,boffa,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,
2014-08-27,conakry,118,4.2e-07,5,4,0,0,0,9,0,0,,,,,,204,,0,1725,,204,,,,,,,,,,,,,12,0,,,,,,22,102,8,8,1934,49,39,8,2,11,4,307,6,,26,,,,742,195
2014-08-27,coyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,dabola,4,1e-06,0,0,0,0,0,0,0,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,1
2014-08-27,dalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,dinguiraye,1,1e-06,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-08-27,dubreka,,,,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,,,,
2014-08-27,forecariah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,gueckedou,313,8.6e-07,7,0,0,0,3,86,0,0,,,,,,300,,2,3116,,302,,,,,,,,,,,,,46,0,,,,,,7,207,102,4,3418,268,166,102,0,5,3,638,8,,54,,,,977,192
2014-08-27,kerouane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,kissidougou,7,8.6e-07,0,0,0,0,0,0,0,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,2,5,0,159,6,1,5,0,0,0,0,0,,0,,,,,8
2014-08-27,kouroussa,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,
2014-08-27,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,macenta,122,5.2e-07,0,5,0,0,7,24,2,0,,,,,,359,,1,434,,360,,,,,,,,,,,,,0,0,,,,,,9,103,11,8,680,64,53,11,0,7,12,0,0,,0,,,,0,63
2014-08-27,nzerekore,,,,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
2014-08-27,pita,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,
2014-08-27,siguiri,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,
2014-08-27,telimele,26,3.8e-07,0,0,0,0,0,0,0,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-08-27,totals,663,6.6e-07,12,10,0,0,12,127,2,0,,,,,,1250,,14,6496,,1264,,,,,,,,,,,,,58,0,,,,,,45,499,142,22,7662,438,294,142,2,26,22,999,14,,80,,,,1719,518
2014-08-27,yomou,,,,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
2014-09-11,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-11,boffa,24,6.7e-07,,,,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,16,11,5,0,0,0,0,0,,0,,,,,19
2014-09-11,conakry,135,4.2e-07,2,2,2,,,14,,0,,,,,,574,,0,1812,,600,,,,,,,,,,,,,16,0,,,,,,31,117,8,10,2412,57,47,8,2,13,2,416,8,,23,,,,938,259
2014-09-11,coyah,6,3.3e-07,,1,,,,5,,0,,,,,,90,,0,0,,97,,,,,,,,,,,,,,,,,,,,0,6,0,0,97,2,2,0,0,0,1,0,0,,0,,,,,1
2014-09-11,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-09-11,dalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-11,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-11,dubreka,21,1.9e-07,,,,,,,,0,,,,,,180,,0,0,,180,,,,,,,,,,,,,,,,,,,,4,21,0,0,180,4,4,0,0,0,0,0,0,,0,,,,,17
2014-09-11,forecariah,8,5e-07,,,,,1,59,,0,,,,,,118,,0,0,,121,,,,,,,,,,,,,,,,,,,,0,7,0,1,121,4,4,0,0,0,1,0,0,,0,,,,,9
2014-09-11,gueckedou,347,8.4e-07,1,1,,,4,43,,0,,,,,,292,,2,3410,,292,,,,,,,,,,,,,31,0,,,,,,8,232,110,5,3702,292,182,110,0,6,5,774,6,,85,,,,1395,252
2014-09-11,kerouane,20,5.0000000000000004e-08,,,,,3,,,0,,,,,,165,,0,43,,208,,,,,,,,,,,,,,,,,,,,0,17,0,3,208,1,1,0,0,0,3,0,0,,0,,,,,3
2014-09-11,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-11,kissidougou,7,8.6e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,2,5,0,159,6,1,5,0,0,0,0,0,,0,,,,,7
2014-09-11,kouroussa,4,1e-06,,,,,,,,0,,,,,,48,,0,46,,48,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,1
2014-09-11,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-11,macenta,256,5.8e-07,,9,,,1,48,2,0,,,,,,555,,0,295,,831,,,,,,,,,,,,,0,0,,,,,,8,232,12,12,1126,148,134,12,2,6,10,0,0,,0,,,,0,128
2014-09-11,mzerekore,15,5.3e-07,,,,,,3,,0,,,,,,52,,0,165,,52,,,,,,,,,,,,,,,,,,,,1,14,1,0,217,8,7,1,0,1,0,0,0,,0,,,,,9
2014-09-11,pita,8,3.8e-07,,,,,,,,0,,,,,,32,,0,108,,32,,,,,,,,,,,,,,,,,,,,0,6,1,1,140,3,2,1,0,0,0,0,0,,0,,,,,13
2014-09-11,siguiri,6,5e-07,,,,,,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,8
2014-09-11,telimele,26,3.8e-07,,,,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-09-11,totals,899,6.3e-07,3,13,2,0,9,172,2,0,,,,,,2136,,2,6904,,2453,,,,,,,,,,,,,47,0,,,,,,57,716,151,32,9378,568,413,151,4,28,22,1244,14,,108,,,,2333,747
2014-09-11,yomou,11,4.5000000000000003e-07,,,,,,,,0,,,,,,30,,0,0,,35,,,,,,,,,,,,,,,,,,,,1,11,0,0,56,5,5,0,0,1,0,0,0,,0,,,,,4
2014-09-16,boffa,24,6.7e-07,,,,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,16,11,5,0,0,0,0,0,,0,,,,,20
2014-09-16,conakry,151,4.0000000000000003e-07,3,2,,,3,48,,0,,,,,,635,,0,2007,,638,,,,,,,,,,,,,13,0,,,,,,33,129,8,14,2645,61,51,8,2,14,5,452,9,,17,,,,1017,278
2014-09-16,coyah,7,5.699999999999999e-07,,,,,,,,0,,,,,,80,,0,28,,88,,,,,,,,,,,,,,,,,,,,1,7,0,0,116,4,4,0,0,0,0,0,0,,0,,,,,3
2014-09-16,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-09-16,dalaba,2,0.0,,1,,,,,,0,,,,,,20,,0,0,,34,,,,,,,,,,,,,,,,,,,,0,2,0,0,34,0,0,0,0,0,0,0,0,,0,,,,,0
2014-09-16,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-16,dubreka,22,1.8e-07,,,,,1,,,0,,,,,,69,,0,272,,69,,,,,,,,,,,,,,,,,,,,3,21,0,1,341,4,4,0,0,0,1,0,0,,0,,,,,19
2014-09-16,forecariah,10,5e-07,,,,,,5,,0,,,,,,74,,0,61,,84,,,,,,,,,,,,,,,,,,,,0,9,0,1,145,5,5,0,0,0,0,0,0,,0,,,,,9
2014-09-16,gueckedou,350,8.4e-07,0,,,,,,,0,,,,,,244,,6,3489,,254,,,,,,,,,,,,,12,0,,,,,,9,235,110,5,3749,293,182,110,1,6,0,842,15,,49,,,,1472,255
2014-09-16,kerouane,22,1.4e-07,,,,,,,,0,,,,,,137,,0,71,,137,,,,,,,,,,,,,,,,,,,,0,22,0,0,208,3,3,0,0,0,0,0,0,,0,,,,,5
2014-09-16,kissidougou,8,8.800000000000002e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,3,5,0,159,7,2,5,0,0,0,0,0,,0,,,,,7
2014-09-16,kouroussa,4,1e-06,,,,,,,,0,,,,,,0,,0,94,,0,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,1
2014-09-16,macenta,279,5.9e-07,,3,,,,,3,0,,,,,,960,,0,295,,970,,,,,,,,,,,,,0,0,,,,,,9,258,12,9,1265,165,151,12,2,7,3,0,0,,0,,,,0,130
2014-09-16,nzerekore,28,7.099999999999999e-07,,,,,,,,0,,,,,,98,,1,164,,99,,,,,,,,,,,,,,,,,,,,1,17,11,0,264,20,9,11,0,1,0,0,0,,0,,,,,9
2014-09-16,pita,9,3.3e-07,,,,,,,,0,,,,,,25,,0,115,,25,,,,,,,,,,,,,,,,,,,,0,6,1,2,140,3,2,1,0,0,0,0,0,,0,,,,,17
2014-09-16,siguiri,6,5e-07,,,,,,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,9
2014-09-16,telimele,26,3.8e-07,,,,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-09-16,totals,964,6.3e-07,3,6,0,0,4,53,3,0,,,,,,2372,,7,7642,,2433,,,,,,,,,,,,,25,0,,,,,,61,771,161,32,10082,608,442,161,5,30,10,1348,24,,66,,,,2489,787
2014-09-16,yomou,11,4.5000000000000003e-07,,,,,,,,0,,,,,,30,,0,21,,35,,,,,,,,,,,,,,,,,,,,1,11,0,0,56,5,5,0,0,1,0,0,0,,0,,,,,4
2014-09-09,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,boffa,24,6.7e-07,,,,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,16,11,5,0,0,0,0,0,,0,,,,,19
2014-09-09,conakry,130,4.400000000000001e-07,1,1,,,,,,0,,,,,,531,,0,1809,,585,,,,,,,,,,,,,11,0,,,,,,28,113,8,9,2297,57,47,8,2,13,1,402,4,,22,,,,910,259
2014-09-09,coyah,6,3.3e-07,,,,,,,,0,,,,,,82,,0,0,,82,,,,,,,,,,,,,,,,,,,,0,5,0,1,82,2,2,0,0,0,0,0,0,,0,,,,,1
2014-09-09,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-09-09,dalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-09,dubreka,21,1.9e-07,,,,,,,,0,,,,,,180,,0,0,,180,,,,,,,,,,,,,,,,,,,,4,21,0,0,180,4,4,0,0,0,0,0,0,,0,,,,,17
2014-09-09,forecariah,6,6.7e-07,,,,,,,,0,,,,,,123,,0,35,,123,,,,,,,,,,,,,,,,,,,,0,6,0,0,123,4,4,0,0,0,0,0,0,,0,,,,,9
2014-09-09,gueckedou,343,8.5e-07,9,,,,,1,2,0,,,,,,279,,0,3365,,279,,,,,,,,,,,,,27,0,,,,,,8,230,110,3,3644,291,181,110,0,6,0,774,17,,70,,,,1364,252
2014-09-09,kerouane,18,6e-08,,,,,7,,,0,,,,,,165,,0,0,,165,,,,,,,,,,,,,,,,,,,,0,11,0,7,165,1,1,0,0,0,7,0,0,,0,,,,,3
2014-09-09,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,kissidougou,7,8.6e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,2,5,0,159,6,1,5,0,0,0,0,0,,0,,,,,7
2014-09-09,kouroussa,4,1e-06,,,,,,,,0,,,,,,48,,0,46,,48,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,1
2014-09-09,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,macenta,236,6.2e-07,42,5,,,1,,4,0,,,,,,602,,0,357,,783,,,,,,,,,,,,,0,0,,,,,,8,213,12,11,1078,146,132,12,2,6,6,42,0,,0,,,,0,128
2014-09-09,mzerekore,15,5.3e-07,,1,,,,,1,0,,,,,,53,,0,151,,53,,,,,,,,,,,,,,,,,,,,1,14,1,0,204,8,7,1,0,1,1,0,0,,0,,,,,9
2014-09-09,pita,8,3.8e-07,,,,,,,,0,,,,,,32,,0,108,,32,,,,,,,,,,,,,,,,,,,,0,6,1,1,140,3,2,1,0,0,0,0,0,,0,,,,,13
2014-09-09,siguiri,7,4.3e-07,,,,,1,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,1,141,3,3,0,0,0,1,13,0,,0,,,,,8
2014-09-09,telimele,26,3.8e-07,,,,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-09-09,totals,867,6.500000000000001e-07,52,7,0,0,9,1,7,0,,,,,,2043,,0,6896,,2283,,,,,,,,,,,,,38,0,,,,,,54,683,151,33,9006,565,410,151,4,28,16,1272,21,,92,,,,2274,747
2014-09-09,yomou,11,4.5000000000000003e-07,,,,,,,,0,,,,,,30,,0,0,,35,,,,,,,,,,,,,,,,,,,,1,11,0,0,56,5,5,0,0,1,0,0,0,,0,,,,,4
2014-09-22,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-22,boffa,24,6.7e-07,,,,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,16,11,5,0,0,0,0,0,,0,,,,,20
2014-09-22,conakry,154,4.400000000000001e-07,5,3,,,3,26,,0,,,,,,756,,0,2193,,801,,,,,,,,,,,,,13,0,,,,,,38,136,8,10,2994,68,58,8,2,18,6,482,5,,20,,,,1066,299
2014-09-22,coyah,9,5.6e-07,,2,,,,,,0,,,,,,98,,1,17,,98,,,,,,,,,,,,,,,,,,,,1,9,0,0,116,5,5,0,0,0,2,0,0,,0,,,,,4
2014-09-22,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-09-22,dalaba,2,0.0,,,,,,,,0,,,,,,20,,0,0,,34,,,,,,,,,,,,,,,,,,,,0,2,0,0,34,0,0,0,0,0,0,0,0,,0,,,,,1
2014-09-22,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-22,dubreka,21,3.3e-07,,,,,,,,0,,,,,,49,,0,292,,49,,,,,,,,,,,,,,,,,,,,3,21,0,0,341,7,7,0,0,1,0,0,0,,0,,,,,19
2014-09-22,forecariah,10,7e-07,,,,,,,,0,,,,,,74,,0,61,,84,,,,,,,,,,,,,,,,,,,,0,9,0,1,145,7,7,0,0,0,0,0,0,,0,,,,,12
2014-09-22,gueckedou,356,8.3e-07,9,2,,,2,3,,0,,,,,,173,,0,3588,,179,,,,,,,,,,,,,20,0,,,,,,9,239,111,6,3767,295,183,111,1,6,4,869,4,,50,,,,1543,259
2014-09-22,kerouane,22,2.3e-07,,,,,,,,0,,,,,,144,,0,71,,144,,,,,,,,,,,,,,,,,,,,0,22,0,0,215,5,5,0,0,0,0,0,0,,0,,,,,9
2014-09-22,kindia,1.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0
2014-09-22,kissidougou,8,8.800000000000002e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,3,5,0,159,7,2,5,0,0,0,0,0,,0,,,,,7
2014-09-22,kouroussa,4,1e-06,,,,,,,,0,,,,,,0,,0,94,,0,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,2
2014-09-22,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-22,macenta,325,5.4e-07,,7,,,,,3,0,,,,,,855,,0,539,,831,,,,,,,,,,,,,,,,,,,,9,303,12,10,1370,175,161,12,2,7,7,13,0,,13,,,,,144
2014-09-22,mzerekore,30,6.7e-07,,,,,,,,0,,,,,,83,,1,84,,84,,,,,,,,,,,,,,,,,,,,2,19,11,0,264,20,9,11,0,1,0,0,0,,0,,,,,10
2014-09-22,pita,8,3.8e-07,,,,,,,,0,,,,,,25,,0,115,,25,,,,,,,,,,,,,,,,,,,,0,6,1,1,140,3,2,1,0,0,0,0,0,,0,,,,,18
2014-09-22,siguiri,6,5e-07,,,,,,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,0,0,,0,,,,,9
2014-09-22,telimele,26,3.8e-07,,,,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,0,0,,0,,,,,18
2014-09-22,totals,1022,6.2e-07,14,14,0,0,5,29,3,0,,,,,,2307,,4,8100,,2364,,,,,,,,,,,,,33,0,,,,,,67,832,162,28,10561,635,468,162,5,35,19,1418,9,,83,,,,2609,838
2014-09-22,yomou,11,4.5000000000000003e-07,,,,,,,,0,,,,,,30,,2,21,,35,,,,,,,,,,,,,,,,,,,,1,11,0,0,56,5,5,0,0,1,0,0,0,,0,,,,,4
2014-08-30,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,boffa,25,6.4e-07,0,,0,,,0,,0,,,,,,0,,0,46,,0,,,,,,,,,,,,,,,,,,,,0,19,5,1,397,16,11,5,0,0,0,0,0,,0,,,,,18
2014-08-30,conakry,126,4.400000000000001e-07,5,2,0,,,0,1,0,,,,,,253,,0,1727,,253,,,,,,,,,,,,,24,0,,,,,,24,109,8,9,1986,55,45,8,2,11,2,347,21,,27,,,,800,197
2014-08-30,coyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,dabola,4,1e-06,0,,0,,,0,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,1
2014-08-30,dalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,dinguiraye,1,1e-06,0,,0,,,0,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-08-30,dubreka,14,1.4e-07,0,,0,,,0,,0,,,,,,154,,3,0,,157,,,,,,,,,,,,,,,,,,,,4,13,0,1,157,2,2,0,0,0,0,0,0,,0,,,,,5
2014-08-30,forecariah,7,4.3e-07,0,,0,,,0,,0,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,0,5,0,2,0,3,3,0,0,0,0,0,0,,0,,,,,6
2014-08-30,gueckedou,317,8.5e-07,4,3,0,,2,0,1,0,,,,,,221,,0,3116,,223,,,,,,,,,,,,,17,0,,,,,,8,211,102,4,3418,271,169,102,0,6,5,693,12,,55,,,,1058,205
2014-08-30,kerouane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
