region,date,cfr,contacts_followed,contacts_healthy,contacts_ill,contacts_not_seen,cum_completed_contacts,cum_confirmed,cum_contacts,cum_noncase,cum_probable,cum_suspected,death_confirmed,death_probable,death_suspected,etc_cum_admission,etc_cum_deaths,etc_cum_discharges,etc_currently_admitted,etc_new_admission,etc_new_deaths,etc_new_discharges,negative_corpse,new_completed_contacts,new_confirmed,new_contacts,new_negative,new_noncase,new_positive,new_probable,new_samples,new_suspected,pending,percent_seen,population,positive_corpse,repeat_samples,total_lab_samples
kambia,2014-09-07,0,18,18,0,0,12,1,30,3,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,341690,,,
kenema,2014-09-07,50,532,507,3,25,1729,384,2352,433,0,23,192,0,4,483,182,70,57,8,1,0,,7,6,83,,7,,0,,0,,96%,653013,,,
koinadugu,2014-09-07,0.0,,,,,,0.0,,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-07,0,95,87,6,0,0,12,133,22,1,34,2,0,1,,,,,,,,,0,0,0,,0,,0,,0,,98%,325003,,,
moyamba,2014-09-07,46.2,68,63,5,0,132,13,200,22,0,2,6,0,0,,,,,,,,,7,0,4,,0,,0,,0,,100%,278119,,,
port loko,2014-09-07,16.3,1151,1139,0,15,107,98,1258,27,1,5,16,1,1,,,,,,,,,3,0,10,,0,,0,,0,,99%,557978,,,
pujehun,2014-09-07,10,179,54,0,0,154,10,333,3,0,2,1,0,0,,,,,,,,,0,2,125,,0,,0,,1,,30%,335574,,,
tonkolili,2014-09-07,9.5,310,310,0,0,153,21,463,20,0,1,2,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,434937,,,
western area rural,2014-09-07,5,164,164,0,0,0,40,164,29,0,2,2,0,0,,,,,,,,,0,0,8,,0,,0,,0,,100%,263619,,,
western area urban,2014-09-07,4.2,328,326,2,0,414,71,742,133,1,7,3,1,1,,,,,,,,,29,2,18,,1,,0,,1,,100%,1040888,,,
bo,2014-11-15,,,,,,,220.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,654142.0,,,
bombali,2014-11-15,,,,,,,697.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,494139.0,,,
bonthe,2014-11-15,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,168729.0,,,
kailahun,2014-11-15,,,,,,,558.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,465048.0,,,
kambia,2014-11-15,,,,,,,56.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,341690.0,,,
kenema,2014-11-15,,,,,,,493.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,653013.0,,,
koinadugu,2014-11-15,,,,,,,73.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,335471.0,,,
kono,2014-11-15,,,,,,,57.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,325003.0,,,
moyamba,2014-11-15,,,,,,,144.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,278119.0,,,
port loko,2014-11-15,,,,,,,711.0,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,557978.0,,,
pujehun,2014-11-15,,,,,,,28.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,335574.0,,,
tonkolili,2014-11-15,,,,,,,300.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,434937.0,,,
western area rural,2014-11-15,,,,,,,687.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,263619.0,,,
western area urban,2014-11-15,,,,,,,940.0,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,1040888.0,,,
bo,2014-09-12,21.3,165,164,1,0,498,75,663,81,1,11,16,0,0,,,,,,,,,0,1,32,,0,,0,,2,,100%,654142,,,
bombali,2014-09-12,7.3,421,414,5,2,182,82,603,24,1,1,6,0,0,,,,,,,,,0,9,21,,0,,0,,1,,99%,494139,,,
bonthe,2014-09-12,100,57,57,0,0,27,1,84,1,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
