region,date,cfr,contacts_followed,contacts_healthy,contacts_ill,contacts_not_seen,cum_completed_contacts,cum_confirmed,cum_contacts,cum_noncase,cum_probable,cum_suspected,death_confirmed,death_probable,death_suspected,etc_cum_admission,etc_cum_deaths,etc_cum_discharges,etc_currently_admitted,etc_new_admission,etc_new_deaths,etc_new_discharges,negative_corpse,new_completed_contacts,new_confirmed,new_contacts,new_negative,new_noncase,new_positive,new_probable,new_samples,new_suspected,pending,percent_seen,population,positive_corpse,repeat_samples,total_lab_samples
bo,2014-09-22,19.3,141,140,1,0,540,83,681,86,1,19,16,0,0,,,,,,,,,0,6,0,,0,,0,,2,,100%,654142,,,
bombali,2014-09-22,5.4,662,651,11,0,276,148,938,49,1,10,8,0,0,,,,,,,,,13,0,44,,0,,0,,0,,98%,494139,,,
bonthe,2014-09-22,100,57,57,0,0,32,1,89,1,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-09-22,39.7,167,167,0,0,1169,529,1606,280,32,18,210,35,4,639,215,118,53,16,2,7,,30,0,21,,0,,0,,0,,100%,465048,,,
kambia,2014-09-22,10,160,160,0,0,12,10,162,5,0,0,1,0,0,,,,,,,,,0,0,60,,0,,0,,0,,100%,341690,,,
kenema,2014-09-22,54.9,511,495,1,0,2169,417,2727,540,0,33,229,0,4,500,244,279,31,1,2,8,,8,1,31,,10,,0,,0,,98%,653013,,,
kenema (ifrc),2014-09-22,,,,,,,,,,,,,,,27.0,8.0,0.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,
koinadugu,2014-09-22,0.0,,,,,,0.0,,25.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-22,0,115,113,2,0,140,18,255,30,1,39,2,0,1,,,,,,,,,0,0,27,,0,,0,,0,,99%,325003,,,
moyamba,2014-09-22,16.7,175,175,0,0,178,42,353,37,0,5,7,0,0,,,,,,,,,0,1,0,,0,,0,,0,,100%,278119,,,
police training school,2014-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
port loko,2014-09-22,9.1,1753,1575,104,78,387,187,2140,64,1,6,17,1,1,,,,,,,,,19,0,193,,0,,0,,0,,98%,557978,,,
pujehun,2014-09-22,7.7,169,169,0,0,240,13,409,4,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-09-22,5.1,1159,1159,0,0,217,59,1376,38,0,3,3,0,0,,,,,,,,,20,3,0,,2,,0,,1,,100%,434937,,,
western area rural,2014-09-22,3.1,286,262,3,21,114,96,400,90,0,7,3,0,0,,,,,,,,,0,12,18,,7,,0,,0,,98%,263619,,,
western area urban,2014-09-22,4.7,389,339,4,26,600,172,989,260,1,12,8,1,1,,,,,,,,,116,7,25,,15,,0,,0,,98%,1040888,,,
bo,2014-11-10,32.1,192,191,1,0,920,193,1147,296,1,79,62,43,8,,,,,,,,11,0,4,0,,11,,0,,1,,100%,654142,1,,
bombali,2014-11-10,23.5,1759,1745,4,10,1681,659,3340,433,6,87,155,19,22,,,,,,,,1,0,2,0,,1,,0,,0,,98%,494139,2,,
bonthe,2014-11-10,50.0,0,0,0,0,125,2,125,4,0,3,1,1,1,,,,,,,,0,0,0,0,,0,,0,,0,,100%,168729,0,,
kailahun,2014-11-10,40.9,526,526,0,0,2243,558,2769,315,32,18,228,35,4,,,,,,,,0,0,0,1,,0,,0,,0,,100%,465048,0,,
kambia,2014-11-10,26.4,379,379,0,0,272,53,651,37,0,11,14,9,6,,,,,,,,0,0,1,0,,1,,0,,0,,100%,341690,0,,
kenema,2014-11-10,52.1,201,201,0,0,2838,493,3170,922,0,98,257,0,4,,,,,,,,10,0,0,0,,10,,0,,0,,99%,653013,0,,
koinadugu,2014-11-10,30.9,247,247,0,0,8,55,255,51,32,14,17,32,0,,,,,,,,0,0,7,147,,1,,0,,0,,99%,335471,3,,
kono,2014-11-10,42.2,381,369,12,0,390,45,771,97,1,61,19,19,2,,,,,,,,0,0,0,36,,0,,0,,0,,98%,325003,0,,
moyamba,2014-11-10,25.5,412,409,3,0,960,137,1372,110,1,35,35,20,9,,,,,,,,0,34,0,80,,0,,0,,0,,100%,278119,0,,
port loko,2014-11-10,14.3,6303,6245,7,51,948,644,7251,402,1,122,92,1,74,,,,,,,,7,0,19,54,,11,,0,,9,,98%,557978,5,,
pujehun,2014-11-10,57.1,105,105,0,0,991,28,1103,16,0,10,16,2,3,,,,,,,,3,30,0,0,,3,,0,,0,,100%,335574,0,,
tonkolili,2014-11-10,20.3,1670,1670,0,0,1199,281,2869,144,4,46,57,21,4,,,,,,,,4,22,8,0,,5,,0,,1,,100%,434937,1,,
western area rural,2014-11-10,14.6,1673,1603,4,0,2201,631,4085,547,0,67,92,2,12,,,,,,,,19,0,22,66,,22,,0,,3,,98%,263619,9,,
western area urban,2014-11-10,12.4,1863,1700,0,0,3830,838,6297,1083,1,147,104,4,8,,,,,,,,36,22,31,123,,48,,0,,18,,98%,1040888,16,,
bo,2014-10-12,42,306,298,0,8,661,125,967,123,1,34,53,43,2,,,,,,,,,0,0,80,,0,,0,,0,,100%,654142,,,
bombali,2014-10-12,31,1608,1599,6,3,457,388,2065,206,1,57,120,7,13,,,,,,,,,0,19,41,,19,,0,,3,,98%,494139,,,
bonthe,2014-10-12,100,15,15,0,0,90,1,105,1,0,2,1,1,1,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-10-12,41,452,449,3,0,1578,535,2030,284,32,18,219,35,4,814,238,172,53,4,0,1,,0,2,6,,1,,0,,0,,100%,465048,,,
kambia,2014-10-12,36,326,325,1,0,86,25,412,10,0,3,9,9,6,,,,,,,,,0,1,0,,0,,0,,0,,100%,341690,,,
kenema,2014-10-12,53,235,234,1,0,2632,447,2902,685,0,48,238,0,4,504,254,307,0,0,0,0,,12,10,10,,9,,0,,4,,99%,653013,,,
koinadugu,2014-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,0.0,335471.0,,,
kono,2014-10-12,58,330,325,5,0,191,31,523,67,1,52,18,19,2,,,,,,,,,0,0,54,,0,,0,,0,,98%,325003,,,
moyamba,2014-10-12,35,301,301,0,0,464,77,765,57,0,22,27,19,5,,,,,,,,,0,2,114,,1,,0,,0,,100%,278119,,,
port loko,2014-10-12,14,2747,2747,0,0,562,405,3309,147,1,21,57,1,49,,,,,,,,,0,7,0,,1,,0,,0,,100%,557978,,,
pujehun,2014-10-12,50,380,380,0,0,469,24,949,6,0,3,12,2,3,,,,,,,,,135,0,270,,0,,0,,0,,100%,335574,,,
tonkolili,2014-10-12,27,1349,1349,0,0,591,127,1940,60,0,23,34,17,3,,,,,,,,,27,0,59,,0,,0,,0,,100%,434937,,,
western area,2014-10-12,43.0,,,,,,664.0,,799.0,1.0,83.0,138.0,4.0,8.0,,,,,,,,,,16.0,,,28.0,,0.0,,1.0,,,1304507.0,,,
western area rural,2014-10-12,,578,499,1,79,710,,1288,,,,,,,,,,,,,,,0,,2,,,,,,,,98%,,,,
western area urban,2014-10-12,,948,859,0,89,985,,1933,,,,,,,,,,,,,,,18,,28,,,,,,,,98%,,,,
bo,2014-09-11,21.6,133,130,2,1,498,74,631,81,1,9,16,0,0,,,,,,,,,0,7,14,,0,,0,,2,,99%,654142,,,
bombali,2014-09-11,8.2,400,390,9,1,182,73,582,24,1,1,6,0,0,,,,,,,,,6,0,15,,0,,0,,0,,99%,494139,,,
bonthe,2014-09-11,100,57,57,0,0,27,1,84,1,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-09-11,36.4,147,147,0,0,1097,508,1422,257,32,18,185,35,4,457,220,229,69,16,3,8,,0,0,0,,1,,0,,0,,100%,465048,,,
kambia,2014-09-11,33.3,86,85,1,0,12,3,98,4,0,0,1,0,0,,,,,,,,,0,1,30,,1,,0,,0,,100%,341690,,,
kenema,2014-09-11,52.8,638,620,0,18,1821,396,2485,465,0,24,209,0,4,487,186,80,54,4,2,2,,0,1,2,,3,,0,,2,,97%,653013,,,
koinadugu,2014-09-11,0.0,,,,,,0.0,,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-11,0,77,71,5,0,80,15,157,23,1,39,2,0,1,,,,,,,,,0,1,0,,0,,0,,3,,100%,325003,,,
moyamba,2014-09-11,35.3,55,51,4,0,149,17,206,24,0,3,6,0,0,,,,,,,,,0,3,0,,2,,0,,1,,100%,278119,,,
port loko,2014-09-11,12.1,1313,1155,3,155,238,132,1551,33,1,5,16,1,1,,,,,,,,,9,13,37,,1,,0,,0,,88%,557978,,,
pujehun,2014-09-11,10,138,138,0,0,195,10,333,4,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-09-11,6.9,383,383,0,0,170,29,553,26,0,2,2,0,0,,,,,,,,,0,3,20,,5,,0,,1,,100%,434937,,,
western area rural,2014-09-11,4.1,181,0,0,0,0,49,183,42,0,3,2,0,0,,,,,,,,,0,0,181,,0,,0,,0,,100%,263619,,,
western area urban,2014-09-11,3.2,331,331,0,0,436,94,767,156,1,8,3,1,1,,,,,,,,,0,5,63,,3,,0,,1,,100%,1040888,,,
bo,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654142.0,,,
bombali,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494139.0,,,
bonthe,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168729.0,,,
kailahun,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465048.0,,,
kambia,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341690.0,,,
kenema,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653013.0,,,
koinadugu,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335471.0,,,
kono,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325003.0,,,
moyamba,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278119.0,,,
port loko,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557978.0,,,
pujehun,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335574.0,,,
tonkolili,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434937.0,,,
western area rural,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263619.0,,,
western area urban,2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040888.0,,,
34 military hospital,2014-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo,2014-09-25,19.3,44,43,1,0,661,83,705,88,1,18,16,0,0,,,,,,,,,121,1,24,,0,,0,,0,,100%,654142,,,
bombali,2014-09-25,5.6,733,709,5,19,288,180,1021,77,1,6,10,0,0,,,,,,,,,0,0,14,,0,,0,,0,,98%,494139,,,
bonthe,2014-09-25,100,57,57,0,0,32,1,87,1,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-09-25,39.7,219,219,0,219,1204,529,1682,280,32,18,210,35,4,670,222,125,47,16,3,2,,5,0,0,,0,,0,,0,,100%,465048,,,
kambia,2014-09-25,8.3,159,159,0,0,35,12,194,5,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,341690,,,
kenema,2014-09-25,54.4,501,501,0,0,2283,423,2784,577,0,30,230,0,4,503,248,288,26,2,3,0,,47,1,20,,5,,0,,0,,100%,653013,,,
kenema (ifrc),2014-09-25,,,,,,,,,,,,,,,31.0,11.0,0.0,20.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,
koinadugu,2014-09-25,0.0,,,,,,0.0,,26.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-25,0,118,116,2,0,140,18,258,35,1,40,2,0,1,,,,,,,,,0,0,0,,0,,0,,0,,100%,325003,,,
moyamba,2014-09-25,14,158,158,0,0,210,50,368,38,0,10,7,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,278119,,,
police training school,2014-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
port loko,2014-09-25,7.4,1851,1809,12,30,500,231,2351,91,1,10,17,1,1,,,,,,,,,26,18,13,,14,,0,,0,,98%,557978,,,
pujehun,2014-09-25,6.3,237,237,0,0,250,16,487,4,0,1,1,0,0,,,,,,,,,10,0,78,,0,,0,,0,,100%,335574,,,
tonkolili,2014-09-25,7.7,1194,1194,0,0,237,65,1431,40,0,4,5,0,0,,,,,,,,,0,5,55,,1,,0,,1,,100%,434937,,,
western area rural,2014-09-25,3.4,415,378,1,37,138,117,553,112,0,9,4,0,0,,,,,,,,,24,4,41,,12,,0,,0,,98%,263619,,,
western area urban,2014-09-25,4.6,676,473,1,203,634,195,1310,297,1,14,9,1,1,,,,,,,,,15,6,180,,15,,0,,0,,100%,1040888,,,
34 military hospital,2014-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo,2014-09-23,19,141,140,1,0,540,84,681,86,1,19,16,0,0,,,,,,,,,0,1,0,,0,,0,,0,,100%,654142,,,
bombali,2014-09-23,6,688,678,7,3,288,149,976,52,1,10,9,0,0,,,,,,,,,12,1,16,,3,,0,,0,,98%,494139,,,
bonthe,2014-09-23,100,57,57,0,0,32,1,89,1,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-09-23,39.7,151,151,0,0,1199,529,1627,280,32,18,210,35,4,28,10,0,18,0,2,0,,5,0,8,,0,,0,,0,,100%,465048,,,
kambia,2014-09-23,10,155,155,0,0,27,10,185,5,0,0,1,0,0,,,,,,,,,0,0,51,,0,,0,,0,,100%,341690,,,
kenema,2014-09-23,55.2,533,515,0,18,2231,417,2731,556,0,33,230,0,4,501,245,281,29,1,1,2,,62,0,4,,13,,0,,3,,98%,653013,,,
kenema (ifrc),2014-09-23,,,,,,,,,,,,,,,28.0,10.0,0.0,18.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,
koinadugu,2014-09-23,0.0,,,,,,0.0,,26.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,1.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-23,0,117,113,4,0,140,18,257,35,1,40,2,0,1,,,,,,,,,0,0,0,,5,,0,,1,,100%,325003,,,
moyamba,2014-09-23,14,175,175,0,0,178,50,353,38,0,10,7,0,0,,,,,,,,,0,8,0,,1,,0,,5,,100%,278119,,,
police training school,2014-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
port loko,2014-09-23,8.5,1789,1689,1,99,387,201,2175,71,1,10,17,1,1,,,,,,,,,0,14,35,,7,,0,,4,,98%,557978,,,
pujehun,2014-09-23,6.3,169,169,0,0,240,16,409,4,0,1,1,0,0,,,,,,,,,0,3,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-09-23,6.7,1159,1159,0,0,217,60,1376,39,0,3,4,0,0,,,,,,,,,0,1,0,,1,,0,,0,,100%,434937,,,
western area rural,2014-09-23,2.9,298,262,1,36,114,103,412,92,0,9,3,0,0,,,,,,,,,0,7,12,,2,,0,,2,,98%,263619,,,
western area urban,2014-09-23,4.5,428,339,2,89,616,178,1044,271,1,13,8,1,1,,,,,,,,,16,6,39,,11,,0,,1,,79%,1040888,,,
bo,2014-11-16,,,,,,,222.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,654142.0,,,
bombali,2014-11-16,,,,,,,709.0,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,494139.0,,,
bonthe,2014-11-16,,,,,,,3.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,168729.0,,,
kailahun,2014-11-16,,,,,,,559.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,465048.0,,,
kambia,2014-11-16,,,,,,,57.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,341690.0,,,
kenema,2014-11-16,,,,,,,493.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,653013.0,,,
koinadugu,2014-11-16,,,,,,,73.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,335471.0,,,
kono,2014-11-16,,,,,,,57.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,325003.0,,,
moyamba,2014-11-16,,,,,,,147.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,278119.0,,,
port loko,2014-11-16,,,,,,,720.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,557978.0,,,
pujehun,2014-11-16,,,,,,,28.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,335574.0,,,
tonkolili,2014-11-16,,,,,,,302.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,434937.0,,,
western area rural,2014-11-16,,,,,,,711.0,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,263619.0,,,
western area urban,2014-11-16,,,,,,,975.0,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,1040888.0,,,
bo,2014-09-02,30.8,288,286,0,2,298,52,586,76,1,1,16,0,0,,,,,,,,,0,1,0,,0,,0,,0,,99%,654142,,,
bombali,2014-09-02,13.6,389,385,1,3,108,44,497,20,1,1,6,0,0,,,,,,,,,0,0,3,,0,,0,,0,,99%,494139,,,
bonthe,2014-09-02,100,6,6,0,0,0,1,1,0,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-09-02,37.5,170,167,2,1,1070,480,1363,250,32,16,180,35,4,409,186,182,74,5,3,0,,0,10,48,,3,,0,,1,,99%,465048,,,
kambia,2014-09-02,0,0,,0,0,12,1,12,3,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,0%,341690,,,
kenema,2014-09-02,49.6,451,417,0,34,1627,365,2171,415,0,14,181,0,4,294,180,69,,,,,,180,9,103,,6,,0,,3,,92%,653013,,,
koinadugu,2014-09-02,0.0,,,,,,0.0,,22.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-02,0,63,53,10,0,38,4,106,19,1,34,2,0,1,,,,,,,,,0,0,0,,0,,0,,0,,100%,325003,,,
moyamba,2014-09-02,44.4,40,40,0,0,104,9,144,17,0,0,4,0,0,,,,,,,,,38,0,0,,0,,0,,0,,100%,278119,,,
port loko,2014-09-02,2.7,916,916,0,0,88,75,1004,21,1,3,2,1,1,,,,,,,,,0,5,0,,2,,0,,0,,100%,557978,,,
pujehun,2014-09-02,14.3,64,64,0,0,124,7,208,3,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-09-02,11.8,415,414,1,0,16,17,416,19,0,1,2,0,0,,,,,,,,,0,1,0,,3,,0,,0,,100%,434937,,,
western area rural,2014-09-02,6.1,150,150,0,0,0,33,150,20,0,2,2,0,0,,,,,,,,,0,1,8,,2,,0,,0,,100%,263619,,,
western area urban,2014-09-02,3.4,323,323,0,0,357,58,680,96,1,5,2,1,1,,,,,,,,,0,4,45,,5,,0,,0,,100%,1040888,,,
bo,2014-09-17,20.8,157,157,0,0,529,77,681,86,1,12,16,0,0,,,,,,,,,15,0,0,,1,,0,,0,,100.00%,"654,142",,,
bombali,2014-09-17,4.9,518,497,13,8,247,122,765,39,1,6,6,0,0,,,,,,,,,12,9,54,,9,,0,,1,,99.00%,"494,139",,,
bonthe,2014-09-17,100,57,57,0,0,32,1,89,1,0,1,1,0,0,,,,,,,,,0,0,7,,0,,0,,0,,100.00%,"168,729",,,
kailahun,2014-09-17,37.6,166,166,0,0,1105,529,1422,280,32,18,199,35,4,476,240,260,34,7,0,11,,4,0,0,,0,,0,,0,,100.00%,"465,048",,,
kambia,2014-09-17,25,97,97,0,0,12,4,97,5,0,0,1,0,0,,,,,,,,,0,1,0,,0,,0,,0,,100.00%,"341,690",,,
kenema,2014-09-17,55.6,615,615,0,17,2020,412,2618,498,0,27,229,0,4,5,2,0,3,0,0,0,,44,2,0,,2,,0,,0,,99.00%,"653,013",,,
kenema (ifrc),2014-09-17,,,,,,,,,,,,,,,556.0,200.0,104.0,37.0,10.0,4.0,14.0,,,,,,,,,,,,,,,,
koinadugu,2014-09-17,0,,,,,,0,,24,0,0,0,0,0,,,,,,,,,,0,,,0,,0,,0,,,"335,471",,,
kono,2014-09-17,0,114,110,3,0,80,15,193,26,1,39,2,0,1,,,,,,,,,0,0,1,,0,,0,,0,,100.00%,"325,003",,,
moyamba,2014-09-17,25,55,55,0,0,149,24,206,37,0,4,6,0,0,,,,,,,,,0,7,0,,0,,0,,2,,100.00%,"278,119",,,
port loko,2014-09-17,10,1530,1395,2,133,258,160,1788,51,1,4,16,1,1,,,,,,,,,0,5,43,,5,,0,,0,,86.00%,"557,978",,,
pujehun,2014-09-17,10,108,108,0,0,228,10,333,4,0,1,1,0,0,,,,,,,,,20,0,0,,0,,0,,0,,100.00%,"335,574",,,
tonkolili,2014-09-17,5.1,451,451,0,0,197,39,593,32,0,2,2,0,0,,,,,,,,,15,4,0,,2,,0,,0,,100.00%,"434,937",,,
western area rural,2014-09-17,5.4,262,204,0,58,104,56,366,63,0,7,3,0,0,,,,,,,,,0,1,49,,1,,0,,0,,100.00%,"263,619",,,
western area urban,2014-09-17,5.1,443,391,15,37,466,136,909,199,1,10,7,1,1,,,,,,,,,23,7,11,,10,,0,,2,,100.00%,"1,040,888",,,
bo,2014-10-17,40,238,237,0,1,661,141,921,135,1,48,57,43,3,72,24,30,18,1,3,1,,0,3,0,,4,,0,,2,,100%,654142,,,
bombali,2014-10-17,29,1674,1665,4,5,488,435,2162,232,1,68,125,14,18,,,,,,,,,0,0,13,,0,,0,,4,,98%,494139,,,
bonthe,2014-10-17,50,15,15,0,0,90,2,105,2,0,3,1,1,1,,,,,,,,,0,0,0,,1,,0,,0,,100%,168729,,,
hastings-f/town,2014-10-17,,,,,,,,,,,,,,,274.0,8.0,79.0,106.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,
kailahun,2014-10-17,41,485,485,0,0,1688,541,2173,285,32,18,219,35,4,850,240,189,50,20,0,1,,0,0,61,,0,,0,,0,,100%,465048,,,
kambia,2014-10-17,35,260,260,0,0,152,26,412,14,0,4,9,9,6,,,,,,,,,14,1,0,,1,,0,,1,,100%,341690,,,
kenema,2014-10-17,53,284,237,0,39,2662,466,2999,698,0,65,245,0,4,,,,,,,,,8,4,0,,5,,0,,4,,99%,653013,,,
kenema (ifrc),2014-10-17,,,,,,,,,,,,,,,116.0,47.0,24.0,31.0,3.0,4.0,0.0,,,,,,,,,,,,,,,,
kenema (kgh),2014-10-17,,,,,,,,,,,,,,,504.0,254.0,307.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
koinadugu,2014-10-17,0.0,,,,,,2.0,,35.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-10-17,53,325,325,0,0,235,34,560,78,1,53,18,19,2,,,,,,,,,0,0,32,,0,,0,,0,,98%,325003,,,
moyamba,2014-10-17,35,355,355,0,0,488,83,843,66,0,22,29,19,6,,,,,,,,,27,3,78,,7,,0,,0,,100%,278119,,,
port loko,2014-10-17,15,3692,3644,18,30,614,427,4306,160,1,22,62,1,49,,,,,,,,,25,0,112,,1,,0,,0,,98%,557978,,,
pujehun,2014-10-17,48,380,380,0,0,469,25,949,9,0,5,12,2,3,,,,,,,,,0,1,0,,2,,0,,0,,100%,335574,,,
tonkolili,2014-10-17,25,1718,1717,1,0,712,146,2430,68,0,24,37,17,3,,,,,,,,,0,8,0,,6,,0,,0,,100%,434937,,,
western area,2014-10-17,38.0,,,,,,769.0,,893.0,1.0,94.0,140.0,4.0,0.0,,,,,,,,,,19.0,,,26.0,,0.0,,2.0,,,1304507.0,,,
western area rural,2014-10-17,,907,810,0,97,923,,1830,,,,,,,,,,,,,,,0,,67,,,,,,,,98%,,,,
western area urban,2014-10-17,,1032,854,0,178,1171,,2203,,,,,,,,,,,,,,,2,,152,,,,,,,,98%,,,,
bo,2014-12-06,,,,,,,269.0,,,1.0,111.0,83.0,43.0,8.0,,,,,,,,,,,,,,,,,,,,654142.0,,,
bombali,2014-12-06,,,,,,,880.0,,,6.0,118.0,223.0,19.0,22.0,,,,,,,,,,,,,,,,,,,,494139.0,,,
bonthe,2014-12-06,,,,,,,4.0,,,0.0,9.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,168729.0,,,
kailahun,2014-12-06,,,,,,,0.0,,,32.0,18.0,228.0,35.0,4.0,,,,,,,,,,,,,,,,,,,,465048.0,,,
kambia,2014-12-06,,,,,,,86.0,,,0.0,24.0,26.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,341690.0,,,
kenema,2014-12-06,,,,,,,494.0,,,0.0,116.0,261.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,653013.0,,,
koinadugu,2014-12-06,,,,,,,86.0,,,32.0,25.0,27.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,335471.0,,,
kono,2014-12-06,,,,,,,106.0,,,1.0,111.0,41.0,19.0,2.0,,,,,,,,,,,,,,,,,,,,325003.0,,,
moyamba,2014-12-06,,,,,,,170.0,,,1.0,64.0,44.0,20.0,9.0,,,,,,,,,,,,,,,,,,,,278119.0,,,
port loko,2014-12-06,,,,,,,956.0,,,1.0,250.0,208.0,1.0,74.0,,,,,,,,,,,,,,,,,,,,557978.0,,,
pujehun,2014-12-06,,,,,,,31.0,,,0.0,15.0,16.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,335574.0,,,
tonkolili,2014-12-06,,,,,,,385.0,,,4.0,81.0,88.0,21.0,4.0,,,,,,,,,,,,,,,,,,,,434937.0,,,
western area rural,2014-12-06,,,,,,,885.0,,,0.0,156.0,193.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,263619.0,,,
western area urban,2014-12-06,,,,,,,1403.0,,,1.0,304.0,267.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,1040888.0,,,
bo,2014-08-30,33.3,,,,,,45.0,,76.0,1.0,1.0,15.0,0.0,0.0,,,,,,,,,,6.0,,,1.0,,0.0,,0.0,,,654142.0,,,
bombali,2014-08-30,15.4,,,,,,39.0,,19.0,1.0,1.0,6.0,0.0,0.0,,,,,,,,,,4.0,,,0.0,,0.0,,1.0,,,494139.0,,,
bonthe,2014-08-30,100.0,,,,,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,168729.0,,,
kailahun,2014-08-30,39.0,,,,,,461.0,,245.0,32.0,15.0,180.0,35.0,4.0,399.0,177.0,175.0,64.0,4.0,4.0,0.0,,,4.0,,,0.0,,0.0,,0.0,,,465048.0,,,
kambia,2014-08-30,0.0,,,,,,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,341690.0,,,
kenema,2014-08-30,49.1,,,,,,350.0,,407.0,0.0,11.0,172.0,0.0,4.0,294.0,180.0,69.0,,,,,,,11.0,,,1.0,,0.0,,3.0,,,653013.0,,,
